AAAA,AAAB,AABB,ABBB,BBBB,all,x
0.00021198910214227694,0.0,0.0,0.0,0.00021198910214227694,0.0004239782042845539,0.04900000000000004
0.00022344001534521353,0.0,0.0,0.0,0.00022344001534521353,0.00044688003069042706,0.05000000000000004
0.00023522696867912162,0.0,0.0,0.0,0.00023522696867912162,0.00047045393735824323,0.05100000000000004
0.00024735019592605107,0.0,0.0,0.0,0.00024735019592605107,0.0004947003918521021,0.05200000000000004
0.00025980977137852085,0.0,0.0,0.0,0.00025980977137852085,0.0005196195427570417,0.05300000000000004
0.0002726056141076007,0.0,0.0,0.0,0.0002726056141076007,0.0005452112282152014,0.05400000000000004
0.0002857374921538876,0.0,0.0,0.0,0.0002857374921538876,0.0005714749843077752,0.05500000000000004
0.00029920502664253126,0.0,0.0,0.0,0.00029920502664253126,0.0005984100532850625,0.05600000000000004
0.00031300769582344484,0.0,0.0,0.0,0.00031300769582344484,0.0006260153916468897,0.057000000000000044
0.000327144839037826,0.0,0.0,0.0,0.000327144839037826,0.000654289678075652,0.058000000000000045
0.00034161566061209403,0.0,0.0,0.0,0.00034161566061209403,0.0006832313212241881,0.059000000000000045
0.0003564192336803378,0.0,0.0,0.0,0.0003564192336803378,0.0007128384673606756,0.060000000000000046
0.0003715545039363518,0.0,0.0,0.0,0.0003715545039363518,0.0007431090078727036,0.06100000000000005
0.0003870202933163244,0.0,0.0,0.0,0.0003870202933163244,0.0007740405866326489,0.06200000000000005
0.0004028153036132283,0.0,0.0,0.0,0.0004028153036132283,0.0008056306072264566,0.06300000000000004
0.0004189381200239496,0.0,0.0,0.0,0.0004189381200239496,0.0008378762400478992,0.06400000000000004
0.0004353872146301731,0.0,0.0,0.0,0.0004353872146301731,0.0008707744292603462,0.06500000000000004
0.00045216094981403825,0.0,0.0,0.0,0.00045216094981403825,0.0009043218996280765,0.06600000000000004
0.00046925758160955424,0.0,0.0,0.0,0.00046925758160955424,0.0009385151632191085,0.06700000000000005
0.00048667526299075797,0.0,0.0,0.0,0.00048667526299075797,0.0009733505259815159,0.06800000000000005
0.0005044120470975812,0.0,0.0,0.0,0.0005044120470975812,0.0010088240941951625,0.06900000000000005
0.0005224658904003836,0.0,0.0,0.0,0.0005224658904003836,0.0010449317808007672,0.07000000000000005
0.00054083465580409,0.0,0.0,0.0,0.00054083465580409,0.00108166931160818,0.07100000000000005
0.0005595161156928638,0.0,0.0,0.0,0.0005595161156928638,0.0011190322313857277,0.07200000000000005
0.0005785079549162309,0.0,0.0,0.0,0.0005785079549162309,0.0011570159098324617,0.07300000000000005
0.0005978077737175585,0.0,0.0,0.0,0.0005978077737175585,0.001195615547435117,0.07400000000000005
0.0006174130906057808,0.0,0.0,0.0,0.0006174130906057808,0.0012348261812115617,0.07500000000000005
0.0006373213451712506,0.0,0.0,0.0,0.0006373213451712506,0.0012746426903425011,0.07600000000000005
0.0006575299008465838,0.0,0.0,0.0,0.0006575299008465838,0.0013150598016931675,0.07700000000000005
0.0006780360476133521,0.0,0.0,0.0,0.0006780360476133521,0.0013560720952267042,0.07800000000000006
0.0006988370046554711,0.0,0.0,0.0,0.0006988370046554711,0.0013976740093109422,0.07900000000000006
