n,k,all,A,B,AA,AB,BB,AAA,AAB,ABB,BBB,AAAA,AAAB,AABB,ABBB,BBBB,AAAAA,AAAAB,AAABB,AABBB,ABBBB,BBBBB,max_cycle_len
1000,61,939.3791,864.1185,42.3692,11.2862,5.0383,6.7667,0.2878,0.4199,1.6151,2.1474,0.0118,0.0297,0.2345,0.7519,0.9348,0.0004,0.0027,0.0264,0.1539,0.4291,0.4565,11.4621
1000,62,938.3947,863.5443,41.7725,11.4584,5.0475,6.6854,0.2958,0.4241,1.6252,2.1301,0.0122,0.0311,0.2378,0.7549,0.9294,0.0004,0.0028,0.0278,0.1588,0.4369,0.4547,11.8101
1000,63,937.4151,862.9755,41.1865,11.6237,5.0531,6.6072,0.3066,0.43,1.6327,2.1076,0.0128,0.0318,0.2423,0.7617,0.9205,0.0004,0.0028,0.0292,0.1609,0.4397,0.4557,12.1461
1000,64,936.4368,862.4079,40.6126,11.789,5.059,6.524,0.3155,0.4375,1.6383,2.0811,0.0133,0.0325,0.2459,0.7695,0.9186,0.0004,0.0027,0.0298,0.1647,0.4408,0.4527,12.5083
1000,65,935.4622,861.8328,40.0501,11.9577,5.0646,6.4402,0.3261,0.4448,1.6359,2.0559,0.0135,0.0335,0.2502,0.7791,0.9101,0.0004,0.0029,0.0319,0.1697,0.4437,0.4497,12.8572
1000,66,934.4856,861.2549,39.4978,12.1251,5.063,6.3624,0.3347,0.4541,1.6333,2.0301,0.0143,0.0351,0.2558,0.7881,0.9015,0.0004,0.003,0.0322,0.1721,0.4459,0.445,13.2147
1000,67,933.5134,860.6716,38.9449,12.2927,5.0671,6.2885,0.3463,0.4611,1.6346,2.0116,0.0147,0.0362,0.2617,0.7923,0.8846,0.0004,0.0028,0.0338,0.1764,0.4492,0.447,13.5852
1000,68,932.5384,860.0839,38.4157,12.4647,5.0685,6.201,0.3555,0.4663,1.6368,1.9912,0.0155,0.038,0.2676,0.7928,0.8669,0.0004,0.003,0.0333,0.1824,0.4529,0.4463,13.9815
1000,69,931.5599,859.514,37.8739,12.6299,5.0712,6.1113,0.365,0.4735,1.6393,1.9588,0.0159,0.0381,0.2712,0.7994,0.8618,0.0004,0.0033,0.0346,0.1846,0.4547,0.4371,14.3662
1000,70,930.5859,858.9348,37.3503,12.7977,5.0715,6.0275,0.3773,0.4787,1.6415,1.9348,0.0166,0.0401,0.2744,0.7956,0.8534,0.0004,0.0032,0.035,0.1883,0.4562,0.4318,14.7917
1000,71,929.6122,858.3816,36.8133,12.9534,5.0677,5.9444,0.3858,0.4843,1.6462,1.91,0.0173,0.0415,0.2788,0.8009,0.8438,0.0004,0.0032,0.0364,0.1915,0.4532,0.4265,15.2181
1000,72,928.6418,857.8046,36.3012,13.1248,5.0636,5.8559,0.3939,0.4942,1.6495,1.8867,0.0177,0.0426,0.2808,0.7983,0.8307,0.0004,0.0035,0.0366,0.194,0.4565,0.4217,15.6557
1000,73,927.6739,857.2216,35.7922,13.2935,5.0634,5.777,0.4044,0.5017,1.6514,1.8585,0.0183,0.0429,0.2856,0.7985,0.8215,0.0004,0.004,0.038,0.1967,0.4575,0.4152,16.1063
1000,74,926.7092,856.6542,35.2917,13.4588,5.0569,5.6936,0.4152,0.5077,1.6524,1.8323,0.0187,0.0435,0.2885,0.7947,0.8089,0.0004,0.0043,0.039,0.1994,0.4586,0.41,16.587
1000,75,925.7434,856.0756,34.8084,13.6225,5.0536,5.6059,0.4256,0.5145,1.6501,1.8006,0.0196,0.0448,0.2915,0.7948,0.7996,0.0004,0.0044,0.04,0.2009,0.4587,0.4046,17.0587
1000,76,924.7781,855.501,34.3164,13.7862,5.0491,5.5247,0.4359,0.5205,1.6449,1.7836,0.0204,0.0458,0.2956,0.7937,0.7857,0.0005,0.0048,0.0424,0.2044,0.4554,0.3948,17.5581
1000,77,923.8106,854.928,33.8333,13.9553,5.0416,5.4416,0.4445,0.5265,1.64,1.7571,0.0212,0.0476,0.2996,0.7946,0.777,0.0006,0.0048,0.043,0.2057,0.4541,0.387,18.1098
1000,78,922.8529,854.3573,33.3728,14.1162,5.0303,5.3553,0.4561,0.5318,1.6344,1.7319,0.022,0.0492,0.3019,0.7922,0.7619,0.0008,0.0049,0.0443,0.2041,0.4542,0.3804,18.626
1000,79,921.894,853.7789,32.9127,14.2794,5.0266,5.2798,0.4686,0.5383,1.627,1.7069,0.0228,0.0507,0.307,0.7889,0.742,0.0008,0.0048,0.0455,0.2044,0.4534,0.374,19.1957
1000,80,920.933,853.2055,32.447,14.4407,5.018,5.2019,0.4788,0.5428,1.6255,1.6834,0.0242,0.0523,0.3094,0.7822,0.7278,0.0008,0.0046,0.0468,0.2067,0.4542,0.3642,19.7459
1000,81,919.9801,852.6334,31.9949,14.6061,5.0056,5.1194,0.4884,0.5487,1.6191,1.6646,0.0249,0.0534,0.311,0.7737,0.7147,0.0008,0.0051,0.0467,0.2101,0.4518,0.3594,20.323
1000,82,919.027,852.0778,31.5428,14.7608,4.9962,5.039,0.4993,0.5502,1.6117,1.6368,0.0253,0.0553,0.3142,0.7712,0.7012,0.001,0.0051,0.0479,0.2138,0.4475,0.3497,20.9028
1000,83,918.0768,851.5194,31.0944,14.9142,4.9866,4.9689,0.5103,0.5569,1.6045,1.61,0.0264,0.057,0.3179,0.7688,0.6888,0.0012,0.0053,0.0487,0.2148,0.4427,0.341,21.5372
1000,84,917.1342,850.944,30.6702,15.0761,4.9753,4.8888,0.521,0.5643,1.5959,1.5803,0.0275,0.0581,0.3205,0.7646,0.6764,0.0013,0.0054,0.0499,0.216,0.4389,0.3377,22.1348
1000,85,916.1888,850.383,30.2404,15.2308,4.9595,4.8126,0.5319,0.5685,1.5903,1.5482,0.028,0.0589,0.3217,0.762,0.6686,0.0012,0.0054,0.0505,0.2178,0.4391,0.3265,22.7776
1000,86,915.2441,849.8164,29.8151,15.3869,4.9457,4.7447,0.5437,0.5739,1.5833,1.52,0.0291,0.0597,0.322,0.7549,0.6563,0.0014,0.0056,0.0513,0.2185,0.4359,0.3192,23.4538
1000,87,914.3062,849.2506,29.3949,15.5487,4.928,4.6747,0.555,0.578,1.577,1.4911,0.0302,0.0603,0.3242,0.7505,0.6465,0.0014,0.0058,0.0527,0.2184,0.4331,0.3117,24.1067
1000,88,913.3648,848.6785,29.001,15.7058,4.9096,4.5933,0.5665,0.5822,1.5653,1.4612,0.0317,0.0619,0.3263,0.7427,0.6326,0.0014,0.0058,0.0547,0.2187,0.4338,0.3062,24.7773
