n,k,all,A,B,AA,AB,BB,AAA,AAB,ABB,BBB,AAAA,AAAB,AABB,ABBB,BBBB,AAAAA,AAAAB,AAABB,AABBB,ABBBB,BBBBB,max_cycle_len
1000,105,897.753,839.278,22.844,18.187,4.578,3.404,0.765,0.655,1.331,0.982,0.05,0.075,0.32,0.623,0.43,0.005,0.014,0.068,0.212,0.315,0.217,39.382
1000,106,896.89,838.701,22.563,18.335,4.561,3.353,0.78,0.658,1.295,0.951,0.05,0.077,0.318,0.617,0.414,0.005,0.014,0.071,0.207,0.315,0.209,40.277
1000,107,896.04,838.156,22.261,18.486,4.522,3.294,0.79,0.667,1.282,0.935,0.052,0.075,0.317,0.607,0.409,0.005,0.014,0.072,0.207,0.307,0.197,41.034
1000,108,895.184,837.564,21.962,18.64,4.497,3.23,0.816,0.666,1.277,0.905,0.053,0.076,0.313,0.599,0.407,0.005,0.014,0.071,0.206,0.307,0.189,41.534
1000,109,894.304,837.002,21.634,18.787,4.481,3.176,0.826,0.672,1.257,0.886,0.054,0.075,0.32,0.573,0.396,0.005,0.014,0.072,0.208,0.314,0.184,42.433
1000,110,893.441,836.409,21.347,18.949,4.456,3.123,0.841,0.679,1.242,0.867,0.055,0.075,0.315,0.566,0.382,0.005,0.014,0.074,0.21,0.315,0.179,43.294
1000,111,892.594,835.889,21.041,19.08,4.432,3.071,0.853,0.678,1.236,0.856,0.056,0.079,0.319,0.554,0.367,0.005,0.014,0.077,0.209,0.307,0.169,44.217
1000,112,891.74,835.322,20.75,19.238,4.4,3.016,0.868,0.673,1.223,0.832,0.057,0.082,0.324,0.55,0.363,0.005,0.014,0.078,0.209,0.303,0.161,44.981
1000,113,890.926,834.748,20.486,19.399,4.379,2.955,0.878,0.68,1.212,0.809,0.058,0.082,0.329,0.536,0.354,0.005,0.014,0.079,0.203,0.299,0.156,45.648
1000,114,890.123,834.17,20.24,19.548,4.361,2.896,0.894,0.679,1.19,0.79,0.058,0.085,0.329,0.536,0.338,0.005,0.014,0.077,0.197,0.297,0.149,46.395
1000,115,889.309,833.62,19.963,19.691,4.336,2.829,0.91,0.688,1.181,0.776,0.058,0.085,0.329,0.53,0.336,0.005,0.013,0.077,0.199,0.293,0.147,47.357
1000,116,888.465,833.064,19.674,19.855,4.309,2.76,0.925,0.681,1.175,0.776,0.06,0.083,0.332,0.517,0.329,0.005,0.012,0.086,0.196,0.282,0.137,48.365
1000,117,887.644,832.471,19.383,20.008,4.3,2.718,0.941,0.679,1.175,0.756,0.06,0.087,0.324,0.504,0.316,0.006,0.012,0.088,0.194,0.278,0.135,48.925
1000,118,886.818,831.925,19.099,20.154,4.271,2.678,0.954,0.683,1.158,0.741,0.062,0.088,0.323,0.496,0.314,0.006,0.011,0.091,0.189,0.278,0.13,50.21
1000,119,885.993,831.369,18.837,20.307,4.245,2.627,0.965,0.681,1.137,0.726,0.065,0.089,0.325,0.49,0.298,0.006,0.012,0.089,0.183,0.27,0.128,51.302
