empirical_min_dist,estimated_true_dist,best_x,min_error,experiment,real_alpha,real_p_aa,real_p_bb,empirical_true_dist
592.0,596.589212364153,0.5859072739383004,0.014319413977718876,57,0.4,0.4,0.4,600
667.0,707.7841302110161,0.7102029893188395,0.010795828116609379,57,0.4,0.4,0.4,700
723.0,800.067464874382,0.8064675005125157,0.006853742967390898,57,0.4,0.4,0.4,800
781.0,910.2849475630164,0.9262917715171055,0.005911398282012863,57,0.4,0.4,0.4,900
817.0,1027.7740071971875,1.0524945272348947,0.005735999226920694,57,0.4,0.4,0.4,1000
848.0,1061.8015595742456,1.045745092428071,0.004355622546426644,57,0.4,0.4,0.4,1100
875.0,1121.8601632378018,1.0931331316634796,0.0026340212615366277,57,0.4,0.4,0.4,1200
900.0,1288.3271876916408,1.2900393154249687,0.0021048817285813076,57,0.4,0.4,0.4,1300
913.0,1375.492569349279,1.3783624293839727,0.001253917033946685,57,0.4,0.4,0.4,1400
926.0,1489.1581590965852,1.4952595681583412,0.0024666952711171557,57,0.4,0.4,0.4,1500
100.0,99.72516556588188,0.07864258200818422,0.0201715008213667,58,0.4,0.4,0.4,100
200.0,196.699000889639,0.15931316660737233,0.035690221058812824,58,0.4,0.4,0.4,200
300.0,292.72695373773536,0.24319993973739817,0.03537195388622367,58,0.4,0.4,0.4,300
400.0,396.82862511708396,0.38233683327772244,0.02194863598016322,58,0.4,0.4,0.4,400
498.0,497.07478221564213,0.4682473438083102,0.013894494510635045,58,0.4,0.4,0.4,500
589.0,586.054968411867,0.5554417711187012,0.01681252235234366,58,0.4,0.4,0.4,600
666.0,700.0853082614447,0.6892242606142425,0.014247462629218824,58,0.4,0.4,0.4,700
725.0,803.5155730197162,0.815730429987231,0.01033560301695614,58,0.4,0.4,0.4,800
769.0,889.2511940435112,0.89848664511692,0.012684877699904193,58,0.4,0.4,0.4,900
808.0,955.4650225605337,0.9507652732270266,0.008361433951445198,58,0.4,0.4,0.4,1000
842.0,1076.3630977206017,1.081733617547092,0.00506324430319184,58,0.4,0.4,0.4,1100
875.0,1281.0322060150347,1.3212070079180382,0.004513604605036743,58,0.4,0.4,0.4,1200
895.0,1380.7204954949568,1.4227913306821345,0.0005553501593383416,58,0.4,0.4,0.4,1300
911.0,1457.1881314799125,1.4891601213460002,0.0015033624934700012,58,0.4,0.4,0.4,1400
924.0,1482.152543836239,1.5002744535051338,0.004952908408463458,58,0.4,0.4,0.4,1500
100.0,98.91568663756782,0.08687128464657254,0.020993104022063353,59,0.4,0.4,0.4,100
200.0,203.93375409594617,0.22188762688585284,0.035316478753848336,59,0.4,0.4,0.4,200
300.0,302.04680354583996,0.30772796731933644,0.014563973112557853,59,0.4,0.4,0.4,300
400.0,391.8730985927201,0.37028262310403165,0.01964816257636338,59,0.4,0.4,0.4,400
497.0,496.55012512084176,0.4968213126982208,0.017491785481858625,59,0.4,0.4,0.4,500
589.0,622.1243735344915,0.6524944319895447,0.017858823979250687,59,0.4,0.4,0.4,600
669.0,716.4582767795711,0.7330348328871334,0.01576521276493255,59,0.4,0.4,0.4,700
728.0,794.8468969955655,0.7891296048907899,0.013659786323093826,59,0.4,0.4,0.4,800
777.0,882.0957434087006,0.866863523260468,0.006808977373403557,59,0.4,0.4,0.4,900
831.0,1048.5392007111477,1.0579063215501923,0.006412555770889046,59,0.4,0.4,0.4,1000
864.0,1172.3568942709499,1.1841195585584186,0.006586561805139441,59,0.4,0.4,0.4,1100
893.0,1256.0466847327298,1.2537678522499789,0.00489732817228632,59,0.4,0.4,0.4,1200
908.0,1379.0627289346628,1.3791045962926174,0.0055796562635164314,59,0.4,0.4,0.4,1300
926.0,1402.2462136181878,1.383821799913031,0.0022972946172046503,59,0.4,0.4,0.4,1400
933.0,1502.424856324453,1.4978286837014274,0.002146108218542342,59,0.4,0.4,0.4,1500
100.0,100.17617603316636,0.08311893104643381,0.013665838133480353,60,0.4,0.4,0.4,100
200.0,204.97737675348864,0.21132196644827766,0.04766113728370529,60,0.4,0.4,0.4,200
300.0,304.5155584508252,0.3068904001903902,0.028902437765530226,60,0.4,0.4,0.4,300
398.0,405.73159805168933,0.41995523261505496,0.021298584379535853,60,0.4,0.4,0.4,400
498.0,507.9224869057185,0.5353279390217451,0.010052909757145607,60,0.4,0.4,0.4,500
