n,k,all-cycles,1-cycles,2-cycles,3-cycles,4-cycles,5-cycles,max_cycle_len
1000,223,777.1818,640.2128,91.5928,26.0882,9.9044,4.4684,9.829
1000,224,776.1838,638.9322,91.634,26.1696,9.954,4.5136,9.8776
1000,225,775.186,637.6678,91.6652,26.2384,10.0116,4.5504,9.934
1000,226,774.1884,636.4014,91.7022,26.309,10.0692,4.5838,9.9992
1000,227,773.1902,635.1146,91.7672,26.3714,10.1212,4.6198,10.0538
1000,228,772.192,633.836,91.8184,26.4352,10.1796,4.6578,10.1102
1000,229,771.1952,632.5746,91.8462,26.5138,10.233,4.6904,10.1694
1000,230,770.1962,631.3428,91.8432,26.5854,10.2834,4.7318,10.2466
1000,231,769.1978,630.0902,91.8624,26.6628,10.3308,4.7694,10.3054
1000,232,768.1988,628.8258,91.9118,26.717,10.3774,4.805,10.3612
1000,233,767.199,627.577,91.9288,26.7884,10.4244,4.8464,10.421
1000,234,766.2008,626.3022,91.9716,26.8658,10.478,4.8782,10.476
1000,235,765.2034,625.0484,92.01,26.9278,10.5208,4.9096,10.5326
1000,236,764.207,623.8088,92.0352,26.982,10.572,4.9474,10.591
1000,237,763.2096,622.5628,92.0718,27.0388,10.6124,4.9864,10.6536
1000,238,762.2118,621.3164,92.1074,27.0894,10.6668,5.0184,10.7078
1000,239,761.2154,620.0794,92.1286,27.152,10.713,5.0478,10.7656
1000,240,760.2172,618.8404,92.153,27.205,10.77,5.0802,10.8282
1000,241,759.2198,617.6004,92.1712,27.269,10.8226,5.1156,10.888
1000,242,758.2222,616.373,92.1854,27.324,10.8754,5.1414,10.9582
1000,243,757.2256,615.1542,92.1874,27.3894,10.9178,5.1744,11.029
1000,244,756.2284,613.9224,92.2066,27.4496,10.9738,5.197,11.0946
1000,245,755.2288,612.7018,92.2062,27.5088,11.0272,5.23,11.16
1000,246,754.231,611.5052,92.176,27.5856,11.0616,5.2734,11.2264
1000,247,753.2334,610.2872,92.1728,27.6538,11.1034,5.3028,11.2982
1000,248,752.2352,609.0824,92.1612,27.7116,11.1504,5.3364,11.3748
1000,249,751.2374,607.8782,92.153,27.764,11.1992,5.3664,11.4452
1000,250,750.2402,606.6714,92.1422,27.8236,11.2484,5.3984,11.5158
1000,251,749.2442,605.4524,92.144,27.8906,11.2932,5.43,11.5806
1000,252,748.246,604.2412,92.1474,27.9342,11.3494,5.4678,11.6574
1000,253,747.2486,603.0212,92.168,27.9894,11.3844,5.5016,11.7322
1000,254,746.2508,601.8304,92.1582,28.0368,11.4286,5.5302,11.8106
1000,255,745.255,600.6448,92.1392,28.0902,11.47,5.561,11.8886
1000,256,744.2596,599.4566,92.1242,28.1474,11.5078,5.5856,11.9568
1000,257,743.2612,598.2694,92.0994,28.1982,11.555,5.6176,12.0318
1000,258,742.2644,597.08,92.0802,28.2586,11.5966,5.6512,12.1086
1000,259,741.2678,595.9052,92.0596,28.2974,11.6414,5.6828,12.194
1000,260,740.2706,594.7122,92.0582,28.3364,11.683,5.721,12.2676
1000,261,739.2736,593.5274,92.0414,28.3898,11.7232,5.7472,12.341
1000,262,738.2766,592.3332,92.0384,28.433,11.7682,5.7834,12.4164
1000,263,737.2804,591.1282,92.0332,28.4958,11.8112,5.81,12.4792
1000,264,736.2824,589.9426,92.0296,28.5324,11.8558,5.831,12.5528
1000,265,735.2864,588.7668,92.0056,28.5878,11.8926,5.8584,12.6374
1000,266,734.2902,587.6146,91.952,28.6366,11.9348,5.8888,12.7116
1000,267,733.2958,586.429,91.949,28.6858,11.9678,5.914,12.784
1000,268,732.2978,585.2592,91.9148,28.74,12.0088,5.9462,12.868
1000,269,731.3,584.0912,91.8926,28.7804,12.0434,5.9734,12.9482
1000,270,730.3012,582.9272,91.8566,28.8294,12.0758,6.0114,13.028
1000,271,729.3024,581.7574,91.8362,28.874,12.1068,6.0374,13.1018
1000,272,728.3048,580.5758,91.8198,28.9156,12.163,6.0644,13.1754
1000,273,727.3074,579.4328,91.778,28.9412,12.2034,6.0962,13.2536
1000,274,726.3128,578.2654,91.7684,28.9748,12.2478,6.1178,13.345
1000,275,725.315,577.103,91.7494,28.9978,12.2892,6.1496,13.4198
1000,276,724.3186,575.9576,91.7234,29.029,12.3164,6.1738,13.516
1000,277,723.3212,574.8146,91.6736,29.0762,12.3496,6.201,13.5952
1000,278,722.3252,573.6614,91.6308,29.1342,12.381,6.222,13.6742
1000,279,721.327,572.5266,91.58,29.1686,12.4228,6.242,13.7528
1000,280,720.331,571.3844,91.5424,29.2056,12.4532,6.2738,13.8416
1000,281,719.3358,570.2352,91.5154,29.2386,12.4898,6.3048,13.9344
1000,282,718.3396,569.0912,91.48,29.2614,12.5434,6.3302,14.0154
1000,283,717.3424,567.949,91.439,29.3086,12.5716,6.3516,14.0958
1000,284,716.3448,566.8244,91.3782,29.3556,12.5958,6.3724,14.175
1000,285,715.3484,565.701,91.3292,29.3874,12.626,6.3996,14.2564
1000,286,714.3514,564.564,91.2842,29.4224,12.6594,6.4236,14.3382
1000,287,713.3558,563.439,91.241,29.4598,12.6876,6.4382,14.4272
1000,288,712.3596,562.3026,91.2078,29.4926,12.7128,6.4674,14.5118
1000,289,711.3654,561.1762,91.1628,29.5238,12.7398,6.5026,14.603
1000,290,710.3682,560.0512,91.1168,29.5506,12.773,6.5254,14.6896
1000,291,709.3726,558.9212,91.0744,29.5792,12.8066,6.5506,14.7818
1000,292,708.3768,557.8096,91.014,29.606,12.8404,6.5774,14.8772
1000,293,707.3814,556.6878,90.975,29.6318,12.8676,6.5942,14.9694
1000,294,706.3864,555.5856,90.9102,29.6546,12.9106,6.614,15.0806
1000,295,705.3884,554.4822,90.8608,29.6632,12.935,6.639,15.1682
1000,296,704.394,553.3776,90.7984,29.6838,12.9708,6.6674,15.2626
1000,297,703.3962,552.2676,90.743,29.7068,13.0056,6.6854,15.3558
1000,298,702.4004,551.1718,90.6784,29.7256,13.046,6.6974,15.4578
1000,299,701.4038,550.0656,90.6334,29.7396,13.0698,6.7224,15.547
1000,300,700.4076,548.9618,90.5912,29.7526,13.0918,6.7474,15.6564
1000,301,699.411,547.8866,90.5132,29.7702,13.1156,6.7722,15.772
1000,302,698.4126,546.7862,90.4556,29.794,13.1444,6.7838,15.8656
1000,303,697.4166,545.7026,90.3762,29.8278,13.1646,6.8032,15.9588
1000,304,696.421,544.6302,90.3016,29.8372,13.1924,6.8226,16.0534
1000,305,695.4268,543.5328,90.2538,29.8454,13.2208,6.845,16.1692
1000,306,694.4304,542.4434,90.1886,29.865,13.2456,6.8686,16.2496
1000,307,693.4352,541.375,90.1108,29.874,13.2764,6.8898,16.3656
1000,308,692.4394,540.3022,90.0238,29.8998,13.3044,6.9136,16.4698
1000,309,691.4426,539.2386,89.9524,29.9098,13.3214,6.9336,16.581
1000,310,690.4478,538.1764,89.8784,29.9146,13.3424,6.9592,16.6902
1000,311,689.4522,537.0926,89.821,29.9238,13.3562,6.9856,16.7852
1000,312,688.4592,536.0304,89.7482,29.9346,13.3744,7.0046,16.8924
1000,313,687.463,534.966,89.6732,29.9408,13.4052,7.0196,17.0172
1000,314,686.4672,533.9048,89.596,29.9374,13.4324,7.043,17.1104
1000,315,685.4708,532.8486,89.5276,29.946,13.453,7.0518,17.2476
1000,316,684.4744,531.7894,89.4528,29.9616,13.4702,7.0692,17.3752
1000,317,683.4784,530.7392,89.3678,29.976,13.488,7.0888,17.5
1000,318,682.484,529.688,89.2796,29.9822,13.5158,7.1154,17.62
1000,319,681.4888,528.6328,89.2014,29.9932,13.538,7.1244,17.7316
