n,k,cycles,1-cycles,2-cycles,3-cycles,4-cycles,5-cycles,max_cycle_len
2000,550,1450,1153,189,51,24,13,14
2000,551,1449,1152,189,51,23,14,14
2000,552,1448,1151,188,52,23,14,14
2000,553,1447,1150,188,51,24,14,14
2000,554,1446,1150,187,51,24,14,16
2000,555,1445,1150,185,51,25,14,16
2000,556,1444,1150,183,51,26,14,16
2000,557,1443,1149,183,51,25,15,16
2000,558,1442,1149,181,51,26,15,16
2000,559,1441,1149,179,51,27,15,16
2000,560,1440,1148,178,52,27,15,16
2000,561,1439,1146,179,52,27,15,16
2000,562,1438,1145,179,52,27,14,16
2000,563,1437,1145,178,52,26,14,16
2000,564,1436,1144,177,53,26,14,16
2000,565,1435,1143,177,53,26,14,16
2000,566,1434,1141,178,53,26,14,16
2000,567,1433,1139,179,53,26,14,16
2000,568,1432,1137,180,53,26,14,16
2000,569,1431,1135,181,53,26,14,16
2000,570,1430,1134,180,54,26,14,16
2000,571,1429,1133,180,53,27,14,16
2000,572,1428,1133,179,53,27,14,16
2000,573,1427,1132,179,53,27,14,16
2000,574,1426,1131,178,54,27,14,16
2000,575,1425,1130,178,53,28,14,16
2000,576,1424,1128,179,53,28,14,16
2000,577,1423,1126,180,53,28,14,16
2000,578,1422,1125,180,52,29,14,16
2000,579,1421,1125,179,52,28,14,16
2000,580,1420,1124,178,53,28,14,16
2000,581,1419,1124,177,53,28,14,18
2000,582,1418,1124,177,51,28,14,18
2000,583,1417,1123,176,52,28,14,18
2000,584,1416,1122,176,52,27,15,18
2000,585,1415,1121,175,53,27,15,18
2000,586,1414,1120,175,53,26,16,18
2000,587,1413,1119,174,54,26,16,18
2000,588,1412,1119,172,54,27,16,18
2000,589,1411,1119,172,53,26,16,18
2000,590,1410,1117,173,53,26,16,18
2000,591,1409,1116,172,54,26,16,18
2000,592,1409,1116,172,54,26,16,18
2000,593,1408,1115,171,55,26,16,18
2000,594,1407,1114,171,55,26,15,18
2000,595,1406,1114,169,55,27,15,18
2000,596,1405,1113,168,56,27,15,18
2000,597,1404,1113,167,56,27,15,18
2000,598,1403,1112,167,56,27,15,18
2000,599,1402,1110,168,56,27,15,18
2000,600,1401,1110,168,56,27,14,23
2000,601,1400,1108,169,56,27,14,23
2000,602,1399,1106,170,56,27,14,23
2000,603,1398,1104,171,56,27,14,23
2000,604,1397,1103,171,55,28,14,23
2000,605,1396,1102,170,56,28,14,23
2000,606,1395,1101,170,56,27,15,23
2000,607,1394,1099,171,56,27,15,23
2000,608,1393,1098,171,56,27,15,23
2000,609,1392,1097,170,57,27,15,23
2000,610,1391,1096,169,58,27,15,23
2000,611,1390,1095,169,58,27,15,23
2000,612,1389,1094,168,59,27,15,23
2000,613,1388,1094,168,58,27,15,23
2000,614,1387,1093,168,58,26,16,23
2000,615,1386,1091,169,58,26,16,23
2000,616,1385,1091,168,58,26,15,23
2000,617,1384,1090,168,58,25,16,23
2000,618,1383,1089,168,58,25,15,23
2000,619,1382,1089,167,58,25,15,23
2000,620,1381,1089,166,58,24,15,23
2000,621,1380,1088,166,57,25,15,23
2000,622,1379,1087,165,58,25,15,23
2000,623,1378,1087,163,58,26,15,23
2000,624,1377,1086,163,58,26,15,23
2000,625,1376,1085,162,59,26,15,23
2000,626,1375,1084,161,60,26,15,23
2000,627,1374,1082,162,60,26,15,23
2000,628,1373,1081,162,60,25,16,23
2000,629,1372,1081,161,60,25,16,23
2000,630,1371,1081,160,59,25,17,23
2000,631,1370,1080,159,60,25,17,23
2000,632,1369,1078,160,60,25,17,23
2000,633,1368,1078,159,59,25,18,23
2000,634,1367,1077,159,58,26,18,23
2000,635,1366,1075,160,58,26,18,23
2000,636,1365,1075,160,57,25,18,23
2000,637,1364,1074,160,57,25,18,23
2000,638,1363,1073,159,58,25,18,23
2000,639,1362,1072,159,58,24,19,23
2000,640,1361,1071,159,57,25,19,23
2000,641,1360,1071,158,57,25,19,23
2000,642,1359,1070,158,57,24,20,23
2000,643,1358,1070,157,57,24,20,23
2000,644,1357,1070,156,56,24,21,23
2000,645,1356,1068,157,56,24,21,23
2000,646,1355,1067,157,56,24,20,23
2000,647,1354,1066,156,57,24,20,23
2000,648,1353,1066,156,56,23,20,23
2000,649,1352,1064,157,56,23,20,23
2000,650,1351,1064,156,55,23,21,23
2000,651,1350,1063,156,55,22,22,23
2000,652,1349,1062,155,56,22,22,23
2000,653,1348,1062,153,56,23,22,23
2000,654,1347,1061,152,57,23,22,23
2000,655,1346,1060,152,57,23,22,23
2000,656,1345,1060,150,57,24,22,23
