n,k,all,A,B,AA,AB,BB,AAA,AAB,ABB,BBB,AAAA,AAAB,AABB,ABBB,BBBB,AAAAA,AAAAB,AAABB,AABBB,ABBBB,BBBBB,max_cycle_len
1000,98,902.0322,406.8811,414.997,32.6073,3.3598,30.4878,5.1861,0.5338,0.5015,4.4367,1.0887,0.134,0.0846,0.1035,0.8613,0.2622,0.0346,0.0222,0.0208,0.0291,0.1873,4.8132
1000,99,901.0328,406.0346,414.2033,32.7988,3.3799,30.6777,5.2632,0.5412,0.5078,4.5061,1.113,0.1352,0.086,0.1056,0.886,0.2699,0.0353,0.0236,0.0212,0.0299,0.1923,4.8412
1000,100,900.0343,405.1814,413.4266,32.9855,3.3985,30.8614,5.3421,0.5488,0.5152,4.5754,1.1358,0.1394,0.0882,0.1088,0.9051,0.278,0.0371,0.0243,0.0216,0.0302,0.1972,4.872
1000,101,899.0348,404.335,412.6377,33.1792,3.4166,31.0544,5.4122,0.5568,0.5219,4.6364,1.1578,0.1422,0.0903,0.1109,0.9305,0.2893,0.0382,0.0247,0.0222,0.0312,0.2032,4.9038
1000,102,898.0356,403.4911,411.8527,33.362,3.4365,31.246,5.486,0.5649,0.5276,4.6983,1.1844,0.1457,0.0922,0.1134,0.9505,0.297,0.0389,0.0251,0.0229,0.0318,0.2126,4.9322
1000,103,897.0363,402.6369,411.0817,33.5478,3.4574,31.4274,5.5576,0.5739,0.5357,4.7597,1.2117,0.1484,0.0942,0.1164,0.9737,0.3048,0.0403,0.0255,0.0237,0.0324,0.2201,4.9647
1000,104,896.0372,401.7931,410.3078,33.7273,3.4749,31.6069,5.6313,0.5811,0.5439,4.8241,1.2383,0.1517,0.0963,0.1179,0.9969,0.315,0.0404,0.0256,0.0246,0.0337,0.2279,4.9954
1000,105,895.0377,400.9602,409.5214,33.8998,3.4924,31.7917,5.7062,0.59,0.5536,4.891,1.2646,0.1551,0.0979,0.12,1.0165,0.3248,0.0413,0.0262,0.0249,0.0344,0.2358,5.0259
1000,106,894.0386,400.1223,408.7414,34.0746,3.5087,31.9745,5.7852,0.599,0.5633,4.9547,1.2873,0.1581,0.0991,0.123,1.0379,0.3337,0.0426,0.0268,0.0257,0.0352,0.2427,5.055
1000,107,893.0396,399.2773,407.9733,34.2542,3.526,32.1503,5.8577,0.6078,0.573,5.0141,1.3122,0.1611,0.1009,0.1265,1.0632,0.3426,0.0443,0.0273,0.0263,0.036,0.2493,5.0818
1000,108,892.0402,398.4503,407.1863,34.4236,3.5418,32.3308,5.9337,0.6173,0.5812,5.0856,1.3368,0.1642,0.1025,0.1288,1.0838,0.3505,0.0466,0.028,0.0266,0.0374,0.2564,5.1112
1000,109,891.0413,397.6118,406.4087,34.5939,3.5636,32.5189,6.0082,0.6245,0.5874,5.1477,1.362,0.1664,0.104,0.132,1.1027,0.3621,0.0482,0.0282,0.0273,0.0384,0.2629,5.1418
1000,110,890.0415,396.7836,405.6308,34.7613,3.5804,32.6987,6.0778,0.6324,0.5937,5.2117,1.3889,0.1712,0.1065,0.1345,1.1247,0.3724,0.0495,0.0293,0.0285,0.0402,0.2703,5.1733
1000,111,889.0426,395.9449,404.858,34.935,3.5988,32.8784,6.1492,0.6389,0.6,5.2781,1.4178,0.1745,0.1093,0.1378,1.1432,0.3817,0.0504,0.0296,0.0291,0.041,0.2789,5.2033
1000,112,888.0435,395.1273,404.0769,35.0968,3.6181,33.0557,6.2192,0.6461,0.6068,5.3389,1.4447,0.1775,0.1113,0.1406,1.1666,0.3926,0.0518,0.0303,0.03,0.0421,0.2875,5.2355
1000,113,887.0448,394.3012,403.3109,35.2535,3.6353,33.2255,6.2954,0.6532,0.6139,5.4073,1.4714,0.18,0.1135,0.143,1.1848,0.4028,0.0532,0.0314,0.0308,0.0435,0.2959,5.2679
1000,114,886.0464,393.4663,402.557,35.4178,3.6545,33.388,6.3661,0.6594,0.6215,5.4705,1.4949,0.1832,0.1166,0.1458,1.2075,0.4167,0.0548,0.0318,0.0311,0.0446,0.3043,5.3007
1000,115,885.0468,392.639,401.8052,35.5763,3.671,33.5367,6.4375,0.6664,0.6294,5.5424,1.5235,0.1874,0.1185,0.1489,1.2293,0.426,0.0567,0.0321,0.0321,0.0451,0.3131,5.3339
1000,116,884.0478,391.8045,401.0452,35.7452,3.6877,33.7028,6.5061,0.672,0.6365,5.6081,1.5523,0.1907,0.1201,0.1519,1.2516,0.4358,0.0588,0.0334,0.0333,0.0465,0.3206,5.3651
1000,117,883.0491,390.9843,400.2733,35.8965,3.7055,33.8761,6.5837,0.6804,0.6441,5.6719,1.5805,0.1947,0.1217,0.1548,1.2736,0.4437,0.06,0.0344,0.0341,0.0472,0.3282,5.3953
1000,118,882.0498,390.1553,399.519,36.0549,3.7219,34.0346,6.6622,0.689,0.6509,5.736,1.6018,0.1984,0.1235,0.1577,1.2964,0.4536,0.0604,0.0355,0.0347,0.0478,0.3368,5.4297
1000,119,881.0499,389.3512,398.744,36.1968,3.7358,34.2043,6.7345,0.6982,0.6587,5.8014,1.631,0.2023,0.1243,0.1604,1.3182,0.4644,0.0617,0.0369,0.0362,0.0494,0.3444,5.4606
1000,120,880.0505,388.5461,397.9768,36.3465,3.7519,34.3575,6.801,0.708,0.6645,5.8697,1.6604,0.2059,0.1251,0.1637,1.3432,0.476,0.0634,0.0382,0.0372,0.0506,0.3531,5.491
