n,k,all,A,B,AA,AB,BB,AAA,AAB,ABB,BBB,AAAA,AAAB,AABB,ABBB,BBBB,AAAAA,AAAAB,AAABB,AABBB,ABBBB,BBBBB,max_cycle_len
1000,64,936.016,437.359,442.422,24.392,2.488,22.83,2.722,0.284,0.235,2.28,0.402,0.058,0.029,0.032,0.317,0.056,0.005,0.006,0.009,0.004,0.047,3.88
1000,65,935.016,436.476,441.536,24.652,2.525,23.11,2.8,0.293,0.239,2.348,0.417,0.058,0.029,0.032,0.33,0.057,0.005,0.006,0.009,0.004,0.05,3.892
1000,66,934.016,435.542,440.709,24.923,2.554,23.38,2.885,0.298,0.244,2.403,0.429,0.065,0.03,0.034,0.343,0.061,0.005,0.006,0.009,0.004,0.051,3.914
1000,67,933.016,434.63,439.876,25.191,2.582,23.637,2.959,0.306,0.248,2.463,0.444,0.069,0.029,0.036,0.357,0.065,0.006,0.007,0.009,0.005,0.053,3.948
1000,68,932.016,433.785,438.993,25.419,2.608,23.892,3.036,0.318,0.254,2.544,0.46,0.071,0.03,0.039,0.371,0.067,0.006,0.008,0.009,0.006,0.054,3.972
1000,69,931.016,432.852,438.15,25.725,2.638,24.162,3.101,0.32,0.256,2.606,0.47,0.075,0.03,0.042,0.382,0.072,0.006,0.008,0.011,0.006,0.056,3.994
1000,70,930.016,431.939,437.317,25.99,2.667,24.417,3.178,0.323,0.263,2.667,0.489,0.078,0.035,0.044,0.397,0.071,0.006,0.008,0.013,0.007,0.057,4.018
1000,71,929.016,431.026,436.491,26.26,2.696,24.652,3.25,0.331,0.274,2.735,0.503,0.082,0.036,0.045,0.414,0.077,0.006,0.008,0.013,0.007,0.059,4.034
1000,72,928.018,430.16,435.651,26.504,2.711,24.888,3.315,0.345,0.286,2.8,0.525,0.084,0.037,0.044,0.432,0.08,0.008,0.008,0.014,0.009,0.064,4.067
1000,73,927.018,429.204,434.863,26.766,2.746,25.139,3.406,0.349,0.288,2.851,0.54,0.09,0.039,0.047,0.446,0.083,0.008,0.008,0.015,0.009,0.064,4.088
1000,74,926.018,428.288,434.076,27.003,2.765,25.363,3.491,0.357,0.302,2.913,0.555,0.094,0.039,0.05,0.461,0.092,0.009,0.008,0.015,0.01,0.068,4.113
