empirical_min_dist,estimated_true_dist,best_x,best_p_aa,best_p_ab,best_p_bb,best_alpha,min_error,experiment,real_alpha,real_p_aa,real_p_bb,empirical_true_dist
788.0,931.4255010406006,0.8464848449918541,0.7100000000000001,0.14,0.1499999999999999,0.5852809459369405,0.008700687661300029,5,0.4,0.4,0.4,900
870.0,1166.6458944480648,1.1198660354740126,0.67,0.01,0.31999999999999995,0.8234521023701133,0.0038219397839920695,5,0.4,0.4,0.4,1100
915.0,1368.1415779657768,1.1550251396517301,0.01,0.21,0.78,0.3856740924200203,0.0019543747786672622,5,0.4,0.4,0.4,1300
948.0,1472.949521357552,1.4496414129450785,0.09999999999999999,0.01,0.89,0.06922992127727182,0.0014800253552106986,5,0.4,0.4,0.4,1500
100.0,100.85574108631059,0.08764065369595533,0.63,0.15,0.22,0.7224649037705758,0.022924263200971465,6,0.4,0.4,0.4,100
300.0,313.5949665357624,0.30553946148633704,0.79,0.02,0.18999999999999997,0.9334602297071577,0.02553416320017885,6,0.4,0.4,0.4,300
493.0,519.492001399471,0.5053426250545221,0.64,0.02,0.33999999999999997,0.44879034045747934,0.015236154660493578,6,0.4,0.4,0.4,500
664.0,740.3209311871404,0.7367799914625406,0.76,0.0,0.24,0.5954762034820253,0.006978544183880904,6,0.4,0.4,0.4,700
787.0,1094.8618845728085,1.1674341288589756,0.63,0.03,0.33999999999999997,0.47923417882439134,0.004213679602407279,6,0.4,0.4,0.4,900
852.0,1319.2229998203004,1.397217752925384,0.88,0.0,0.12,0.7874223280477644,0.004163917629752654,6,0.4,0.4,0.4,1100
891.0,1273.552876243343,1.3014397518811485,0.37,0.23,0.4,0.4749537086759889,0.003472662576856929,6,0.4,0.4,0.4,1300
917.0,1461.834767353356,1.4954851146532078,0.06999999999999999,0.0,0.93,0.09046923701879694,0.002656696654503623,6,0.4,0.4,0.4,1500
100.0,100.15577201720401,0.1322154774090088,0.34,0.21,0.44999999999999996,0.4586088871914232,0.020438933186356163,7,0.4,0.4,0.4,100
300.0,301.1833862921544,0.26563030737858917,0.63,0.0,0.37,0.38353680981073346,0.01656546419746087,7,0.4,0.4,0.4,300
496.0,507.3999304290391,0.28449482678539145,0.98,0.01,0.010000000000000018,0.5439638934613019,0.024398853433336965,7,0.4,0.4,0.4,500
670.0,699.0473707926537,0.6167567196250341,0.98,0.01,0.010000000000000018,0.8321192857243195,0.007668999746557115,7,0.4,0.4,0.4,700
787.0,1035.755218572827,1.0653951846392067,0.66,0.01,0.32999999999999996,0.82326979623285,0.005513844531616403,7,0.4,0.4,0.4,900
858.0,1588.4385380706756,0.906467706404225,0.99,0.0,0.010000000000000009,0.5018462357807947,0.009384527165244556,7,0.4,0.4,0.4,1100
891.0,1450.0151145779093,1.4396589982050059,0.03,0.33,0.6399999999999999,0,0.004603420661159276,7,0.4,0.4,0.4,1300
929.0,1472.7914705206092,1.489479058186397,0.01,0.0,0.99,0,0.0013849917936964433,7,0.4,0.4,0.4,1500
100.0,100.0800332001209,0.11962227664001185,0.35000000000000003,0.1,0.5499999999999999,0.4147767407311586,0.015851794005266845,8,0.4,0.4,0.4,100
299.0,300.628557798755,0.02511914879950159,0.14,0.0,0.86,0.9370405535106349,0.04338188206621956,8,0.4,0.4,0.4,300
497.0,506.8708768765885,0.22644134577809244,0.060000000000000005,0.0,0.94,0.6252648357488586,0.015051387401815771,8,0.4,0.4,0.4,500
675.0,699.5228599334888,0.5828196244705237,0.060000000000000005,0.27,0.6699999999999999,0.43454161704808025,0.005536399526166038,8,0.4,0.4,0.4,700
795.0,880.096050095385,0.4034072590771867,0.01,0.0,0.99,0.5330902278683622,0.00768014913676542,8,0.4,0.4,0.4,900
863.0,1121.092870912424,0.24512941951769965,0.01,0.19,0.8,0.8445727610768996,0.003131863802943068,8,0.4,0.4,0.4,1100
910.0,1339.206515431902,0.9123257479837794,0.01,0.19,0.8,0.5083133190048564,0.0035931910616231653,8,0.4,0.4,0.4,1300
945.0,1437.5932333355358,1.365406053880215,0.32,0.33,0.3499999999999999,0.3231580803806547,0.0025790310993055515,8,0.4,0.4,0.4,1500
100.0,100.78618823027585,0.10964019229031188,0.4,0.22,0.38,0.5040312609309348,0.01622796500512016,9,0.4,0.4,0.4,100
300.0,302.0471695257513,0.17212430112638324,0.060000000000000005,0.08,0.86,0.5773063599255178,0.01535904998152565,9,0.4,0.4,0.4,300
498.0,498.67524716501975,0.4254201096503358,0.12,0.33,0.55,0.538663083459452,0.015517106421146407,9,0.4,0.4,0.4,500
665.0,743.165962457454,0.7336362444626241,0.61,0.0,0.39,0.44448159733616793,0.01814503806664648,9,0.4,0.4,0.4,700
785.0,1204.5703114825485,1.2566966665457733,0.18000000000000002,0.01,0.8099999999999999,0.3873536852102687,0.007320984557259859,9,0.4,0.4,0.4,900
858.0,1164.186571363345,1.1629377361380766,0.41000000000000003,0.29,0.3,0.4058467042400978,0.0017731682422811993,9,0.4,0.4,0.4,1100
906.0,1358.3459678332974,1.37368487260836,0.01,0.11,0.88,0.12019285644747368,0.0009538202815855844,9,0.4,0.4,0.4,1300
935.0,1527.2940852387767,1.4831932712034923,0.01,0.28,0.71,0,0.0016393551364762996,9,0.4,0.4,0.4,1500
100.0,102.51370353014485,0.09615613517840213,0.85,0.02,0.13000000000000003,0.9843590877270837,0.03012964277853952,10,0.4,0.4,0.4,100
298.0,302.90119608497713,0.18728954965303,0.17,0.31,0.52,0.7616321035554009,0.017624047283047804,10,0.4,0.4,0.4,300
492.0,507.8605496573403,0.16485183082603216,0.05,0.0,0.95,0.7391215424810632,0.021397265833706245,10,0.4,0.4,0.4,500
671.0,780.0252271567573,0.15363650934278114,0.03,0.23,0.74,0.8876498766335759,0.009398595609221207,10,0.4,0.4,0.4,700
783.0,969.8820148153022,0.5601129988537252,0.02,0.12,0.86,0.5626535187926918,0.006110410796565442,10,0.4,0.4,0.4,900
854.0,1167.0493089857084,0.517828286338172,0.01,0.17,0.82,0.6851435608759953,0.001929141331902234,10,0.4,0.4,0.4,1100
901.0,1275.3675028277448,1.0556673176135674,0.01,0.24,0.75,0.4159122933660804,0.004960071273919227,10,0.4,0.4,0.4,1300
933.0,1474.3542017620005,1.4682602871093031,0.01,0.04,0.95,0.06893137999450258,0.001080769450728894,10,0.4,0.4,0.4,1500
100.0,101.24633652797257,0.14365689603774842,0.36000000000000004,0.08,0.5599999999999999,0.4,0.029013162146994332,11,0.4,0.4,0.4,100
