n,k,all-cycles,1-cycles,2-cycles,3-cycles,4-cycles,5-cycles,max_cycle_len
1000,197,803.14,680.72,83.81,22.07,8.2,3.95,9.92
1000,198,802.14,679.51,83.91,22.06,8.2,3.95,10.08
1000,199,801.14,678.09,84.15,22.08,8.27,3.96,10.11
1000,200,800.14,676.79,84.25,22.15,8.29,3.98,10.18
1000,201,799.14,675.5,84.27,22.35,8.29,3.92,10.22
1000,202,798.16,674.24,84.39,22.37,8.35,3.93,10.29
1000,203,797.16,672.96,84.44,22.45,8.4,3.95,10.36
1000,204,796.16,671.6,84.63,22.48,8.5,3.92,10.47
1000,205,795.16,670.39,84.61,22.48,8.64,3.94,10.53
1000,206,794.16,669.16,84.63,22.52,8.73,3.99,10.6
1000,207,793.17,667.81,84.75,22.65,8.77,4.04,10.67
1000,208,792.19,666.57,84.82,22.69,8.84,3.99,10.7
1000,209,791.19,665.32,84.91,22.73,8.84,4.04,10.71
1000,210,790.19,663.89,85.13,22.81,8.89,4.07,10.74
1000,211,789.19,662.6,85.28,22.82,8.85,4.14,10.82
1000,212,788.19,661.33,85.34,22.91,8.92,4.11,10.89
1000,213,787.19,660.15,85.25,23.01,8.98,4.16,11.02
1000,214,786.2,659.03,85.07,23.15,9.03,4.23,11.12
1000,215,785.2,657.83,85.09,23.18,9.04,4.27,11.21
1000,216,784.2,656.55,85.22,23.21,9.03,4.29,11.28
1000,217,783.2,655.28,85.3,23.25,9.06,4.34,11.32
1000,218,782.2,654.14,85.2,23.34,9.11,4.4,11.43
1000,219,781.2,652.84,85.26,23.45,9.17,4.42,11.47
1000,220,780.2,651.6,85.35,23.46,9.11,4.54,11.53
1000,221,779.2,650.39,85.34,23.6,9.13,4.5,11.67
1000,222,778.2,649.07,85.55,23.59,9.15,4.49,11.77
1000,223,777.2,647.72,85.65,23.71,9.25,4.47,11.9
1000,224,776.21,646.56,85.56,23.83,9.29,4.48,11.97
1000,225,775.21,645.45,85.39,23.98,9.32,4.5,12.07
1000,226,774.21,644.3,85.37,24.06,9.29,4.52,12.14
1000,227,773.21,643.14,85.26,24.18,9.36,4.52,12.25
1000,228,772.21,641.85,85.37,24.23,9.36,4.62,12.33
1000,229,771.21,640.62,85.49,24.22,9.35,4.69,12.56
1000,230,770.21,639.51,85.39,24.29,9.34,4.79,12.66
1000,231,769.21,638.22,85.5,24.3,9.39,4.82,12.73
1000,232,768.21,637.14,85.4,24.31,9.46,4.81,12.8
1000,233,767.21,635.99,85.39,24.37,9.44,4.87,12.93
1000,234,766.21,634.71,85.49,24.42,9.5,4.88,13.01
1000,235,765.21,633.55,85.41,24.54,9.51,4.93,13.08
1000,236,764.21,632.31,85.52,24.54,9.56,4.98,13.27
1000,237,763.22,631.22,85.42,24.57,9.62,4.99,13.34
1000,238,762.22,630.03,85.39,24.75,9.59,4.99,13.58
1000,239,761.22,629.01,85.2,24.78,9.63,5.04,13.73
1000,240,760.22,627.74,85.25,24.96,9.58,5.06,13.78
1000,241,759.22,626.6,85.28,24.93,9.59,5.08,13.92
1000,242,758.22,625.41,85.26,25.03,9.57,5.13,14.03
1000,243,757.22,624.17,85.3,25.12,9.58,5.12,14.07
1000,244,756.22,622.95,85.34,25.22,9.55,5.19,14.2
1000,245,755.22,621.95,85.18,25.31,9.59,5.15,14.56
1000,246,754.24,620.86,85.1,25.31,9.65,5.2,14.6
1000,247,753.24,619.68,85.14,25.32,9.77,5.18,14.87
1000,248,752.26,618.49,85.17,25.44,9.7,5.25,14.88
1000,249,751.26,617.35,85.13,25.5,9.68,5.28,14.93
1000,250,750.26,616.06,85.27,25.48,9.76,5.3,15.01
1000,251,749.26,614.86,85.29,25.56,9.73,5.32,15.05
1000,252,748.26,613.74,85.29,25.53,9.74,5.36,15.09
1000,253,747.26,612.59,85.21,25.65,9.78,5.38,15.21
1000,254,746.26,611.36,85.26,25.73,9.79,5.39,15.34
1000,255,745.26,610.21,85.32,25.7,9.85,5.32,15.44
1000,256,744.26,609.0,85.35,25.72,9.92,5.36,15.66
1000,257,743.27,607.9,85.36,25.77,9.89,5.38,15.85
1000,258,742.27,606.69,85.56,25.68,9.86,5.44,15.97
1000,259,741.27,605.52,85.63,25.67,9.91,5.48,16.24
1000,260,740.27,604.45,85.54,25.69,9.9,5.54,16.38
1000,261,739.29,603.28,85.56,25.76,9.89,5.59,16.52
1000,262,738.31,602.25,85.47,25.72,10.0,5.61,16.83
1000,263,737.31,601.12,85.52,25.73,9.97,5.61,16.94
1000,264,736.31,599.96,85.52,25.8,10.0,5.59,17.07
1000,265,735.31,598.74,85.63,25.8,10.05,5.59,17.19
1000,266,734.33,597.67,85.56,25.82,10.08,5.63,17.3
1000,267,733.33,596.58,85.5,25.81,10.15,5.67,17.49
1000,268,732.35,595.45,85.48,25.81,10.24,5.63,17.51
1000,269,731.35,594.18,85.52,25.97,10.23,5.66,17.59
1000,270,730.35,593.01,85.52,25.98,10.23,5.76,17.67
1000,271,729.35,591.91,85.54,25.98,10.24,5.76,18.05
1000,272,728.35,590.75,85.46,26.09,10.26,5.78,18.09
1000,273,727.36,589.66,85.47,26.04,10.35,5.74,18.31
1000,274,726.36,588.56,85.42,26.06,10.41,5.72,18.55
1000,275,725.38,587.48,85.31,26.15,10.42,5.76,18.6
1000,276,724.38,586.23,85.44,26.24,10.41,5.72,18.83
1000,277,723.38,584.96,85.59,26.36,10.39,5.67,19.03
1000,278,722.38,583.86,85.54,26.4,10.4,5.69,19.11
1000,279,721.38,582.81,85.49,26.39,10.45,5.68,19.35
1000,280,720.38,581.67,85.54,26.38,10.45,5.65,19.49
1000,281,719.38,580.67,85.36,26.45,10.5,5.58,19.53
1000,282,718.39,579.5,85.41,26.5,10.46,5.63,19.7
1000,283,717.39,578.32,85.49,26.53,10.5,5.62,19.96
1000,284,716.41,577.37,85.38,26.52,10.5,5.63,20.09
1000,285,715.41,576.26,85.44,26.49,10.5,5.64,20.26
1000,286,714.41,575.25,85.35,26.47,10.49,5.66,20.36
1000,287,713.41,574.15,85.36,26.44,10.51,5.66,20.48
1000,288,712.41,573.06,85.34,26.46,10.53,5.72,20.83
1000,289,711.41,572.05,85.34,26.39,10.48,5.83,21.1
1000,290,710.41,571.02,85.11,26.42,10.58,5.92,21.2
1000,291,709.41,570.04,84.89,26.41,10.63,5.97,21.25
1000,292,708.41,568.96,84.91,26.42,10.61,5.96,21.47
1000,293,707.44,567.95,84.85,26.41,10.57,6.01,21.55
1000,294,706.44,566.88,84.82,26.36,10.63,6.06,21.65
1000,295,705.45,565.86,84.7,26.44,10.6,6.03,21.73
1000,296,704.45,564.87,84.58,26.51,10.62,5.98,22.09
1000,297,703.45,563.86,84.45,26.51,10.71,5.96,22.28
1000,298,702.45,562.76,84.38,26.51,10.83,6.0,22.46
1000,299,701.49,561.93,84.18,26.41,10.86,6.04,22.81
1000,300,700.49,560.77,84.1,26.59,10.86,6.04,22.99
1000,301,699.49,559.66,84.04,26.68,10.87,6.07,23.14
1000,302,698.49,558.65,83.96,26.71,10.92,5.95,23.39
1000,303,697.49,557.76,83.87,26.59,10.92,5.95,23.47
1000,304,696.49,556.67,83.9,26.56,10.92,5.95,23.62
1000,305,695.49,555.63,83.8,26.67,10.87,5.93,23.71
1000,306,694.49,554.57,83.76,26.7,10.86,5.94,23.9
1000,307,693.49,553.49,83.74,26.7,10.88,5.97,24.14
1000,308,692.51,552.49,83.68,26.71,10.87,5.99,24.27
1000,309,691.51,551.47,83.61,26.69,10.88,5.98,24.55
1000,310,690.51,550.45,83.54,26.69,10.94,5.95,24.91
1000,311,689.53,549.54,83.45,26.59,10.96,5.93,25.19
1000,312,688.53,548.53,83.43,26.61,10.9,5.86,25.64
1000,313,687.54,547.62,83.33,26.53,10.9,5.91,25.98
1000,314,686.55,546.72,83.26,26.49,10.87,5.91,26.28
1000,315,685.55,545.65,83.18,26.59,10.86,5.93,26.58
1000,316,684.57,544.58,83.15,26.63,10.9,5.92,26.79
1000,317,683.57,543.56,83.22,26.5,11.0,5.87,27.33
1000,318,682.57,542.52,83.17,26.5,11.0,5.9,27.6
1000,319,681.61,541.63,83.05,26.42,11.06,5.85,27.61
1000,320,680.63,540.59,82.99,26.34,11.18,5.86,27.8
1000,321,679.63,539.49,82.99,26.41,11.17,5.82,28.27
1000,322,678.65,538.53,82.88,26.41,11.2,5.78,28.57
1000,323,677.65,537.57,82.79,26.32,11.23,5.77,28.67
1000,324,676.65,536.45,82.78,26.35,11.26,5.79,28.96
1000,325,675.65,535.49,82.66,26.34,11.35,5.79,29.31
1000,326,674.65,534.56,82.46,26.34,11.4,5.83,29.34
1000,327,673.65,533.53,82.34,26.38,11.43,5.82,29.48
