k,A,B,1,a_in_non_trivial_cycles,b_in_non_trivial_cycles,AA,AB,BB,2,AAA,AAB,ABB,BBB,3,AAAA,AAAB,AABB,ABBB,BBBB,4,AAAAA,AAAAB,AAABB,AABBB,ABBBB,BBBBB,5,6,7,8,9,10
445,0.038712881489364415,0.09422360243317544,0.07403912052617194,99.57676765666476,99.95071024707815,0.6250005435568264,0.48109676595268486,0.11256877048833523,0.1985967404453915,1.5774855626846545,1.285035753472102,0.32494563279373084,1.048443413503068,1.1745352530502073,1.5379179978472879,2.3481757900000253,2.310767870607649,0.49573102529462837,0.4184419157816171,1.1036784350545499,2.7927582674628684,1.7260169950988007,1.8357999483659746,4.561932074124476,1.8532989766163095,0.9030478734213232,1.939071097417661,3.047008790663247,3.4463414294801864,3.7244010581649825,3.787386498001318,7.599508925308591
446,0.027203321011013443,0.09797404830490511,0.07225154720734504,99.57871654161832,99.95095565852283,0.5287586338760161,0.4218209847538712,0.1030994731604552,0.1647002659826899,1.6999353331609375,1.4858063693873438,0.33846879919556816,0.9766043570700504,1.1988801880329956,1.4653619188173304,2.341403765721517,2.5851005805416727,0.8101776726208343,0.44248661026372027,1.1408773289022565,2.8489048088020645,1.880372922471287,2.2438479282796298,4.069833913819467,1.4140659378696556,0.9728696154534713,1.9496118437369614,2.9885802922635962,3.228063357192716,3.969606978594835,3.4637097685361717,7.923467640351256
447,0.01800688736409712,0.09165801869644741,0.06490187551984986,99.5806785792418,99.95119726730036,0.5183339081342874,0.38994064012774426,0.12468214812262021,0.14571385677233067,1.7038355440011757,1.609796217591355,0.28469630802114576,1.0342799278575665,1.2351061798146843,1.2618725426355075,2.1343697705078615,2.3878972855985237,0.28155421394166913,0.12462531174808614,0.8578113622564085,3.100791187186292,1.8241570566258911,2.4047676407149208,4.150324812138834,1.4662739548584798,1.0444092628993404,2.062548090443393,3.0189561544132713,3.303902626580997,3.8824166075192785,3.6044205501549067,7.945422365723293
448,0.016454168136891417,0.09582734586423378,0.0670062701263371,99.58266455331213,99.95144435399432,0.533971788385988,0.42698781222238164,0.1434998236131771,0.14398243734005725,1.6191159444161987,1.5795395740703235,0.21789959069958847,1.052599022749283,1.207591772580261,1.4077951102890283,2.053166778476094,2.2926824266318153,0.7973616908110318,0.22558659994301042,0.975914218288221,3.337768137280068,1.896876878883269,2.5055894673270314,4.296255903212913,1.4713333134685833,1.0929927864766025,2.1724505900396633,2.869822032572303,3.40369442755228,3.5064422086291445,3.9568167586467946,7.818231054922397
449,0.016603258712016632,0.09369578946016534,0.065717647435212,99.58466143491746,99.95168931673486,0.521777138486739,0.4413172961796218,0.13203449512503312,0.14738310185691716,1.6076581110970114,1.3937837457222724,0.19281460183385082,1.092054734536613,1.203021701210949,1.51098481321656,1.8961533652514764,2.4364652285552046,0.6947147133219037,0.3339251930773101,1.0375697800945112,3.511479159926759,1.543127729736323,2.6082090042605515,3.933854221426025,1.3800800038860945,1.0200909403978642,2.1283836409217223,2.531652994437663,3.484158080335708,3.5311064989305865,4.557883525763859,7.948352569593295
450,0.024476143845141678,0.09195258260854104,0.06747838276654769,99.58668127744302,99.95193513897686,0.5212121002136596,0.41438648148074,0.15093282629886198,0.13374175420815912,1.6429440746010182,1.311720610003024,0.04477900580817212,1.124918726649482,1.2090508368977249,1.6851507005819713,1.8921171845351896,2.5475778431498477,0.8183742798590417,0.3823283316361164,1.1292245856786318,3.508691481865462,1.575570628259324,2.7126116768725885,4.466319303240638,1.3398586802392332,1.1955265924163487,2.236952992508889,2.4797526811570134,3.610056363565934,3.742648514432699,4.209636529160266,8.10678241435102
451,0.026515062244573555,0.08793219023768646,0.06566807707781276,99.58869569852615,99.95218062045043,0.5668399672282509,0.36438440877610806,0.1792288950274236,0.12837757591620494,1.6006136062876246,1.3737453124885515,0.007196976201187139,1.1209543906102064,1.1958028827478882,1.4740491363961936,1.735378880064858,2.9303831147438126,1.0553389926355643,0.35874944637713907,1.0910724737006852,3.7984380450043242,1.4365569380331624,2.1974196264005927,4.236128785878035,1.4491508655231806,1.4575824211436639,2.356182606795382,2.5105198004697753,3.791891548765177,3.680666375307954,4.007606217257887,8.09099609961182
452,0.017305794631597336,0.09065468252475906,0.06407690246218775,99.59069377142914,99.95242966248374,0.5486741869874767,0.30501800795289113,0.18446944489135678,0.11314354369014117,1.6011890261215802,1.632364066420547,0.02968957332425476,1.122979820994637,1.2181097697530157,1.34104343572478,1.37161980565907,3.043869988873273,1.3485974307599757,0.3549989294235417,1.048635216119813,3.8954306806960686,1.731219567187123,2.3056377889494986,3.813318488597087,1.5111117769448248,1.23160770040649,2.3123226790945877,2.4770247961060017,4.02917218617909,3.296981134967086,4.432291915810298,7.874973575389747
453,0.023676250977077075,0.08792084924244511,0.06465532923884523,99.59272971339244,99.95267691981722,0.5834914594511352,0.2501486624536646,0.1714551573771221,0.12670221223940523,1.5390900502769218,1.77417816661775,0.09358502001478154,1.0880985239087186,1.1886122143946114,1.3319858486522314,1.5762868493591011,2.6512574852397517,1.641930080256617,0.4566505040570493,1.1071450711883706,3.766322679795109,1.5949204340345917,1.9763202012517986,4.353881433864684,1.4768056803896004,1.1788715717619527,2.2514619922477137,2.4084464897697697,4.011342030222399,3.455989070819063,4.278519229368563,7.967131434363533
454,0.018762052939880976,0.08748850324627237,0.06261204260744557,99.59474894963225,99.95292572583901,0.5674933849544667,0.30695432097572806,0.1637373296232949,0.13087039146614135,1.4963888883981062,1.5903220540905485,0.2542419129572726,1.0313459189007572,1.1145037816677188,1.1445364689961726,2.090577436846706,2.3583203430503565,1.5482659823476697,0.4619205662612551,1.074706460649665,4.174190352115415,1.4588013113405116,2.339624080701849,4.191859573359262,1.1979952038235806,1.311809919096657,2.3893224962451116,2.5187190571082505,3.9527329520998387,3.524766957923994,4.480236155466876,7.7052113362135835
455,0.018479454048445407,0.09205304556910378,0.06543500341281895,99.59678323087675,99.95317716402668,0.6047461608990102,0.41058664913176246,0.17273883461769707,0.14844236563975524,1.4930754647952762,1.6158693969927824,0.23362988799945575,1.0842007936979268,1.1437385699584652,1.2613157287690113,1.911303391660046,1.9602167813165905,1.3999745310555363,0.5845064087869547,1.0986280539565099,4.0148247052762525,1.4104777289430963,2.0757917569975404,3.383173731530588,1.3646216022558912,1.1281788087997056,2.2072777790919087,2.512907914717878,3.691137251996847,3.7655834519678453,4.436029659283148,7.727155664267074
456,0.010210978239707477,0.0921633823050826,0.06252769073047112,99.59880736211541,99.95342719181527,0.6150977327629461,0.3934362363574135,0.1822084998140861,0.14470472553294395,1.3309183099540955,1.5104349156208976,0.04515753825215938,1.0747956883932932,1.0944312919596493,1.3879624454033455,1.8609592757093705,1.9761974200768548,1.0843050336184947,0.4828986035695926,1.0576516232067938,4.1328103167004295,0.9660652367556202,2.128086510436302,3.416155593053067,0.7908052113176504,1.3137422862549453,2.2149598301039384,2.5384720671042196,3.809178245029044,3.962198490574731,4.228044010027408,8.261856786903792
457,0.006803771200537129,0.09716012639609445,0.06450049374814795,99.60084642773977,99.95367970621352,0.6212217315135166,0.47904412943660307,0.1545929782673591,0.17041752854105757,1.339252200537173,1.5369667917390162,0.005085346283297469,1.0865467337862378,1.1098425795139335,1.3717091271667274,2.018493118166799,1.7151634090461214,1.2456524874429866,0.4558617865661064,1.0519937552931415,3.957061709284141,1.006975234877991,1.481552962865764,2.9921184209965004,0.713644859906814,1.2808729857264423,2.0715790960785316,2.55852098061058,4.069284246161258,4.115020981797676,4.335017801229733,7.882734550865486
458,0.0019210840707318847,0.09743115656241545,0.06153639417471212,99.60288034144081,99.95393066819942,0.6014908401874763,0.4107860067331741,0.1494413953221299,0.15962907281932892,1.4316826859550518,1.8408891606395938,0.09699068481038281,1.0333893067779985,1.132206075561978,1.4189326652129857,1.9699757915053784,1.593343174720252,1.46389371009421,0.4913014260055354,1.087095723802154,3.5477903330511777,1.0492665058003072,1.408161348149458,2.698047091179986,0.03450998815828238,0.9435431224791383,1.7425685098418822,2.4990230777274123,4.3734498323371405,4.086657981716717,4.298970161687416,7.888354193454599
459,0.011295163225970826,0.09076515328936666,0.06207206862398867,99.60496111598682,99.9541791957754,0.6598550307567477,0.384520583240577,0.14228459057853574,0.18065175761634825,1.4405035199545455,1.578550244959617,0.031127810994854146,0.9607249750827566,1.0793960525879394,1.4215724544478696,2.0000518379023853,1.3311275603579436,1.3202738102860803,0.5037408181389981,1.062323455513113,3.1832736623000444,0.9591480386629526,1.593532446444677,2.8024812396822862,0.3134478233608265,1.073940079675182,1.726088558999028,2.5078857873249936,4.593277649138254,3.660114977590298,4.2865165406114905,7.999321954901846
