estimated_true_dist,empirical_min_dist,empirical_true_dist,alpha,p_aa,p_bb
116.92673812315613,116.94833333333331,117,0.5391590832247696,0.45719477444488804,0.4421531783287217
117.93011470998334,117.94800000000001,118,0.5390601145038169,0.4566988836716423,0.44257577695357464
118.93675365575986,118.94633333333334,119,0.5390439661907805,0.45653913296479487,0.4426689336630783
119.93765542316903,119.94533333333334,120,0.5387926037106786,0.45592315805197337,0.4432127321531227
120.93462297135235,120.94533333333335,121,0.5387598044628873,0.45563023770562,0.44357590756844234
121.93491896832171,121.94533333333334,122,0.5386496777520775,0.45534407685056344,0.44389729317233023
122.93295367360494,122.94466666666669,123,0.5385554063417894,0.455050227330642,0.4441240505536853
123.91828331912384,123.94399999999997,124,0.5385021723311686,0.45462847876544205,0.4444667192351728
124.91858388915945,124.94333333333334,125,0.5384894446140777,0.4542695372819084,0.4447737881826734
125.97231636671107,125.943,126,0.5383714716319509,0.4538852545968883,0.44516884724186706
126.95201192451604,126.94300000000003,127,0.5383672629573194,0.45359107990114234,0.4454851030648522
127.94737944269963,127.94233333333332,128,0.538250010735858,0.4532450203225268,0.44582707855995357
128.9496944675174,128.94033333333334,129,0.538172710372741,0.4528362933620155,0.4463216068976975
