k,A,B,1,a_in_non_trivial_cycles,b_in_non_trivial_cycles,a_in_non_trivial_cycles_part,b_in_non_trivial_cycles_part,AA,AB,BB,2,AAA,AAB,ABB,BBB,3,AAAA,AAAB,AABB,ABBB,BBBB,4,AAAAA,AAAAB,AAABB,AABBB,ABBBB,BBBBB,5,6,7,8,9,10
328,0.04991288366656983,0.1677199980967963,0.10878178230538632,99.66449059087623,99.96276836064392,99.66441250446778,99.96276727907441,1.0952345604399127,0.34555035356012503,0.23877653788405226,0.5683353170658264,1.4325391790369568,3.4041600025828087,0.2674934104878998,1.766504438352918,1.649516871902131,1.2470334226457929,4.676508070331438,1.841957948008692,2.0945394016654255,1.7913770571651022,0.7648170081939899,0.7707623934303554,6.110938841385647,2.1479813538183277,1.7657344068643563,2.845986877035365,3.242051387372624,0.03706692182276953,1.730478712253722,0.8545762329529828,3.811506373480479,0.11056656365570108,6.2722004048945275
329,0.052562634092465935,0.15898835595427782,0.10574720885749783,99.6627352500681,99.96256881665003,99.66265692601996,99.96256773151298,1.0617037942835597,0.35228982448730356,0.24394975706007033,0.5547396174191495,1.4955981318514338,3.0019975869437667,0.674854969940692,1.7816017182094712,1.6794273025948296,1.4650150249975116,5.042273420729093,1.754854647649138,2.0553076248924285,1.6023920682300263,0.659600445786212,0.26897629392172334,6.342148207479085,1.5613022689022091,1.7399255295132632,3.5043661626166682,3.2670597569786484,0.0891934527176828,1.5494208401244642,0.6137967785945421,3.610751776706018,0.6226705362614929,7.451500243732373
330,0.04787699895841182,0.1587759076373424,0.10329573861442626,99.66096925611137,99.96237443947791,99.66089068648499,99.96237335103181,1.070868745034079,0.4611392008326564,0.24494595536807717,0.5486742605220891,1.4966891462589147,3.3234995194692165,0.9434608460580802,1.8697175573559937,1.7721307692151946,1.6185758505710313,4.734622310660406,1.665409080192169,1.8752661721077197,1.376709570148072,0.4774331059071183,0.35724222916671006,6.723925806819395,1.378132887059764,1.7173826209420313,3.2908484731734844,3.606889064045017,0.176815994235329,1.3271039051353168,0.3044744200077283,2.738675579569622,1.0268391920098916,5.6723174445335856
331,0.03891734512644804,0.15663029921520186,0.0977392151585013,99.65920380726092,99.96218107081886,99.65912498930074,99.96217997907989,1.0512286294629378,0.4663520909765427,0.1990382540229181,0.5187011533639092,1.4198633949749386,3.579562891519632,0.9383650650390644,1.943677018349197,1.7959479536614957,1.7280945692984442,4.017993308520557,1.4732737920627845,1.4810239686576319,1.211790982387525,0.27584066271666,0.22700051597482843,6.333942877015379,0.016480925399151466,1.1331337978812226,3.3637210089424383,3.4817781874230884,0.4030884361180128,1.5828782684768636,0.2191177880584522,2.54841804086112,1.4261450891284067,6.187328043683578
332,0.02332735993614494,0.16189293574473387,0.0925621912061514,99.6574304769908,99.96199247810644,99.65735140402064,99.96199138330712,1.0521387489416367,0.33326420695631315,0.14374203035138544,0.5074697978311173,1.5122496255912348,3.2170607551023713,1.1407485636893577,1.8455952227968948,1.7766512815173372,1.6071241610747409,4.191311078235389,1.7810026280415356,1.5942989975721298,1.1667201780406549,0.3090526299397227,0.43934468244739905,7.01516803890777,0.35595974108323536,0.7384704522498285,3.002099237448788,3.6314313259503472,0.21067571399328466,1.593534482192663,0.24721280484554198,2.258421548566013,2.200458351713769,6.822800297371814
333,0.04664107142824501,0.13790244068792962,0.09225095365904999,99.6558148581704,99.96179396116281,99.65573559979838,99.96179286268838,1.1305262302559025,0.3481700893966559,0.03605787250452654,0.49364075884738656,1.52669332201845,3.3138631919152797,1.0022403784163711,1.875748787565155,1.791211535914571,1.5458610437417928,4.229909776179405,2.087286408409342,2.138859771292471,1.0068555739452936,0.30857158112172545,0.14086309797321775,6.464496403986767,0.9171130767106361,0.7272991170873887,3.354963129322421,3.7830891545662997,0.41513375636902494,1.6076540656269762,0.6032948937851534,2.1302640570339237,2.1357911094405075,8.220063489007407
334,0.04039191024271493,0.1302603652440275,0.085305964108722,99.65410852226918,99.96160384573521,99.65402903341797,99.96160274402558,1.0984659916487434,0.46565183579077224,0.06540158573436157,0.48057972313459485,1.463256730410077,3.8348438711967656,0.8651357187111662,1.7890111630865102,1.7690513186519903,1.853810964250985,3.23858327509936,2.087688354050919,2.1837713195226316,1.1235471283243883,0.14397988537891424,0.0750896050069945,6.069153530390656,0.5291506722085892,1.285582986488308,4.432743027116801,3.397913147789221,0.2975751734781603,1.6252150994500012,1.0642528568030667,2.370079741743298,1.244155706570045,8.334710535214326
335,0.031781655323762655,0.12769203111645014,0.07971386454210623,99.6524103623667,99.96141763363481,99.65233064356427,99.96141652886904,1.0075622859331703,0.5136919610510495,0.034860742816248964,0.42082555777768,1.5847446516452977,3.5772186029611284,1.1758210724918097,1.7989841013272838,1.8256193340081746,1.7248510697412245,3.4225341254717496,2.1866200837616523,2.2310849818817404,1.1643754695176987,0.2213193356409016,0.07929554703910918,6.580705636586969,0.14288330500142044,1.8385701922748794,4.490887879006936,3.4406796760381875,0.22396119922568095,1.7126657403820802,0.8161509773438429,2.2503119467065473,1.794788061344724,8.699982066303502
336,0.0396062102216594,0.13101172236821096,0.0852880966794506,99.65078897752802,99.96123567739305,99.65070906066074,99.96123456976864,1.0190588728986827,0.3308071537182998,0.060782280391580186,0.4556094876092815,1.6203544631835654,3.58095430819626,1.2479666834377807,1.92140346708104,1.896676183819283,1.6350179950177346,2.913952063231642,1.9797031924340962,1.8540607102101188,1.012667494491333,0.1200458438040983,0.4383106808354928,6.330105021273623,0.43482426263229107,1.277132969117082,4.253924449031224,3.02230419037918,0.07651332241287885,1.8029734910454567,0.6435587073149064,2.59606815687583,1.6691222024820793,8.17037676454079
337,0.030977274399540712,0.12687746871391,0.07890439757130345,99.64912483646425,99.96105262022148,99.64904469857463,99.96105150962865,0.9815957116884115,0.4001268698474848,0.07231734857309445,0.4368929428932211,1.6259087446035554,3.5863978987997607,0.9797216548158391,1.8637187959864678,1.8509855233589572,1.6457006503074187,2.1203704794669105,1.6712265302219127,2.1912977472353754,0.8828992079233333,0.043093446834139584,0.41968531522452834,5.629416750190416,0.6245319077438809,2.01851395850072,4.450845852001497,2.6441027554125953,0.11617783647654172,1.7863303003973257,0.9344622455658442,2.382580471764021,1.7709702882401073,8.14716032864974
