x,A,B,1,AA,AB,BB,2,AAA,AAB,ABB,BBB,3,AAAA,AAAB,AABB,ABBB,BBBB,4,AAAAA,AAAAB,AAABB,AABBB,ABBBB,BBBBB,5,6,7,8,9,10
0.023000000000000013,0.008849098426813414,0.01120852501412665,0.002991195541602812,0.35272766949678735,0.5999363553727964,0.7588602350247508,0.2543230288283651,5.195206751713387,7.745294597990156,3.5186659907800006,9.880360288422748,1.3568567775460931,23.05017652211398,157.32258119398062,44.980773867624855,18.05154077148146,10.001879549949262,11.627618123287169,0,0,32.30523010147766,24.551410401968415,4.250204924291924,9.95016167247541,5.06903754581018,0,0,0,0,0
0.024000000000000014,0.008916840670461912,0.008680590855261409,0.003783597288120312,0.3669797034621855,0.5674080427848992,0.8723511715147568,0.3064845311869592,5.077040405015489,7.331393527758244,4.432674898613696,9.502003458069526,1.5873215919149861,38.971802751366944,117.60044971763622,46.875624070209675,20.18842825582361,12.678412106597566,11.766294340518888,0,0,0,45.83225507070426,11.922904194725628,110.16975917041522,84.37537262156904,62.24970022032921,0,0,0,0
0.025000000000000015,0.01499586945865746,0.021001360900825106,0.004506352684040575,0.47806411407921356,0.48348814227917825,0.8141352981864322,0.3533678295115396,6.819880384930484,7.5834261694213465,7.5604485096954095,9.976228535043218,2.0042304090688408,17.103126044225796,144.07117866457435,26.514195547445432,18.888536037051576,15.694784894170386,9.96195419590908,0,0,0,69.56646966791608,13.385565469310542,143.56168231517276,71.36163463218213,54.45051567082393,0,0,0,0
0.026000000000000016,0.018198760435869557,0.026604224928196366,0.00515786434883816,0.4075987570885895,0.11621587388846238,0.5872606885526002,0.3953230981901176,5.204399514724481,7.606683055156725,7.210184164043161,10.859058836903756,2.5665570529062807,4.773013420654841,172.4500709337014,7.815274260922233,19.514576354111917,14.73468159331238,4.749366577875102,0,0,0,95.90460939414082,0.09870304346357238,180.45681199780626,97.81305213243014,45.47797683397498,0,0,0,0
0.027000000000000017,0.027292582059070144,0.04719977199897644,0.00563098952560016,0.7702314675523332,0.031941768163756774,0.39189758245606604,0.4451006892809236,3.55243654284592,6.732613055419812,8.02475829710653,11.53874963946304,3.5560120807550057,16.710515789792943,142.22477983709916,3.1660267420522676,10.852074055403826,7.648750026009602,2.377928430487928,0,0,38.44697433523746,124.99747185175568,31.27234334490933,221.03422063395374,26.111432456672652,35.21888353851184,0,0,0,0
0.028000000000000018,0.028292254129770777,0.051632629569802996,0.0050775060698248,0.7935446217205806,0.5001898460248864,0.5030234318934927,0.37707744732407866,3.9602549887000893,10.385558257896871,7.146408451974359,12.29414768146137,2.62024482720003,7.664818483510123,123.40378884442822,2.310340212008411,13.369815458241971,8.668123726665499,2.731385573016778,0,0,29.575849401698555,156.99580006711292,21.628871576028466,82.73514082599907,29.534890275111977,23.555413136332735,0,0,0,0
0.02900000000000002,0.031610553526346556,0.06019751475167075,0.004973526601685878,0.7517798269126986,0.3379691252193738,0.3425720369456524,0.3460760951113635,5.218733795198704,9.803829144065753,4.9391570457717044,12.86277393276946,2.0255878144499233,1.9720945669549232,111.1222731726271,1.0757175022695384,7.019316418737797,2.1819567834680904,4.338808225106511,0,10.833748573089247,19.8365080595219,46.02500019992793,11.08736910714526,106.96914671828385,22.568954228776427,10.36530624084785,0,0,0,0
0.03000000000000002,0.03232333353810483,0.05902402784543843,0.005851407300699108,0.7405717869966112,0.21805664757218954,0.40065489326325465,0.39039357838427735,4.1408828319412345,9.991186189956492,6.131520999107149,11.88876051108232,2.270410561074902,7.5888323125294175,102.94683639835276,6.467772988477387,4.830915883133005,4.25087260437261,3.2832155984870672,0,1.1841537200335623,9.183492305239032,65.15493742486572,16.339060539760005,133.30406571445556,27.85828640673919,4.477937939900888,0,0,0,0
0.03100000000000002,0.0325149030326172,0.05757224813767502,0.006439303026306665,0.7571418210614824,0.07697037775941903,0.348046301047992,0.41498358994177537,2.022435715817952,8.976430914681943,2.6843985088901796,12.642202727295459,2.3146634432186475,9.31502683801873,97.52473583350874,4.354293098524707,0.46941374902233673,2.2215500506819272,4.167513815961671,0,14.312369600710147,2.4287085091461322,85.96218364213524,37.30387070687149,161.8229635736654,16.87829494225249,21.104857869546976,0,0,0,0
0.03200000000000002,0.02843325591050026,0.046998666622141236,0.006627711445464968,0.705837198536031,0.3532738774978657,0.6154721723785489,0.41412779147495205,1.3784854765239059,9.71313527412713,4.048280638767264,10.780690709230683,2.130045296318479,18.093158243309208,115.60396933334648,2.090535886563666,5.501976677994548,13.28702615424676,5.347698014294662,0,28.607214689652242,15.045590596640691,108.52066156173846,21.04240989394777,17.04275458674785,16.401005790589,39.64981867387132,59.538735847267375,0,0,0
0.03300000000000002,0.02801932945503796,0.046442412628817625,0.006519884616413993,0.6993044359564011,0.4187728715678944,0.6823339160512307,0.417571124735149,1.801319876176568,8.841457175384997,4.779277060569509,11.878145002901185,2.7145254325326986,17.852542677258658,91.98569487138049,2.484291117293744,9.0697532608109,1.886129908295583,0.12980082305858923,0,44.12527404339585,28.712571580038578,132.9036310150522,11.95651481818572,6.932935532282939,16.91755694283987,60.250794913769234,52.25933298975465,0,0,0
0.03400000000000002,0.02782956236730251,0.04784415584906031,0.006005885777852723,0.7017957414559097,0.4833233181393374,0.5736332619852426,0.36690186749742804,1.4163519588598696,8.177375041134173,3.7693569094122537,10.061124548621127,2.164871702576543,20.262013046557552,76.31267855719834,2.8056244115679143,11.617015937203966,6.421925109850562,0.5706725538547627,0,60.923334114533134,43.4749291774751,72.78905438876147,2.18518695964346,19.714868046645055,13.049550936304275,83.04914813557792,43.9795714846537,0,0,0
0.035000000000000024,0.026358234437788473,0.03745887596019785,0.007977278114549563,0.7047162737692961,0.20827045951939563,0.7334463170636697,0.4884727935540199,0.2924561049788616,6.353605878389089,4.057618099820044,10.885235313139555,3.2671903508617937,21.905001678571058,55.0760405270796,8.18049627258003,13.424640905185449,2.8296485740541044,1.3748303537240347,0,79.0583171247456,59.377742647177364,43.71606564728075,13.363954595040449,11.260841626494118,10.817738426980979,108.1894001329989,34.60386315295671,0,0,0
0.036000000000000025,0.03612185766908902,0.06257844472641828,0.00772031568070403,0.8602746694411109,0.1472227479522532,0.4350801595362339,0.47154811238384087,0.2277294633872882,6.753204619759901,3.86988592663796,11.879842241695517,3.280863935093574,20.646045116326206,41.02134867713569,13.636516769304846,13.638501093104137,0.17706573430909528,1.9159954416599043,0,98.5872177931412,76.46583691172496,9.222876804356124,13.085696231015808,12.012837725020082,2.657483521604506,135.81900279694426,24.03167243704441,0,0,0
0.037000000000000026,0.038434176589951866,0.06363931379870522,0.009096131143969082,1.037855019802244,0.1817077778072709,0.46905625227363207,0.5503707900496447,0.9220472498171015,5.587080293595814,4.616092066864977,10.332697819777538,3.5501514722792913,19.256722385937753,44.33662563592601,8.336324766470305,12.595216423103382,4.600907253600036,0.6158496248950643,0,119.567042363511,94.78372928398679,0.03330728995153353,4.382883287022128,3.36379306199239,13.037298803874535,6.435242149739861,12.157542947071438,0,0,0
0.03800000000000003,0.039162692363697904,0.06595441446013132,0.0089850621717585,1.0988045692947126,0.33108985830036763,0.4458378446376179,0.5327283722756384,1.1561019921471958,5.439745853462935,5.209608947060769,9.008501360570481,3.3955675158132164,19.918781391071082,34.92571688335713,13.685863172366131,14.237145504401358,5.06471297010388,0.9716633256417555,0,142.0547498752264,114.37557871872215,3.8273706367424296,3.8560263216950017,3.794843394056502,13.15368928721075,0.2835600319221342,1.128862779668016,0,0,0
0.03900000000000003,0.028296595009166533,0.03563085148089096,0.009971117143076157,0.917256794593569,0.3161326716048526,0.804070455825699,0.5760947466112382,1.8140817632183652,5.234925873389155,4.875225481617754,9.24417302017501,3.566774073629351,16.15311607451442,38.71542880485431,16.576425699140916,12.885865795726408,0.04031676208101549,0.7086256603113451,0,166.10719562357318,135.28513751560803,6.331335549432925,5.170419022546918,5.06209659421938,20.349068959210147,25.520558766901832,15.942710713623477,0,0,0
